DOB,From Pair,Wean On,Date Weaned,Separate By ,Actual Separation Date,Pups,Males,Females
11/22/21,A6,12/12/21,12/13/21,12/19/21,12/20/21,4,3,1
11/22/21,A5,12/12/21,12/13/21,12/19/21,12/20/21,5,3,2
11/22/21,A4,12/12/21,12/13/21,12/19/21,12/20/21,1,0,1
11/29/21,A3,12/19/21,12/27/21,12/26/21,12/23/21,5,3,2
12/13/21,A6,1/2/22,1/3/22,1/9/22,1/10/21,3,2,1
12/13/21,A5,1/2/22,1/3/22,1/9/22,1/10/21,7,5,2
12/13/21,A4,1/2/22,1/3/22,1/9/22,1/10/21,6,1,5
12/23/21,A3,1/12/22,1/13/22,1/20/22,,,,
1/4/22,A6,1/24/22,1/24/22,1/31/22,,,,
1/4/22,A5,1/24/22,1/24/22,1/31/22,,,,
1/4/22,A4,1/24/22,1/24/22,1/31/22,,,,
1/13/22,A3,2/2/22,,,,,,
1/27/22,A6,2/16/22,,,,,,
1/27/22,A4,2/16/22,,,,,,
1/28/22,A5,2/17/22,,,,,,
2/3/22,A3,2/23/22,,,,,,
2/1/22,A11,2/21/22,2/21/22,2/28/22,,,,
2/1/22,A12,2/21/22,2/21/22,2/28/22,,,,
2/1/22,A13,2/21/22,2/21/22,2/28/22,,,,
1/26/22,A14,2/15/22,2/15/22,2/22/22,,,,
1/26/22,A15,2/15/22,2/15/22,2/22/22,,,,
1/26/22,A16,2/15/22,2/15/22,2/22/22,,,,
1/28/22,A17,,,,,,,